Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
617	38	25	12
618	41	67	54
619	22	11	78
620	48	23	36
621	19	46	33
622	50	37	63
623	47	60	34
624	13	40	27
625	82	69	3
626	74	12	87
627	72	11	84
628	14	28	41
629	40	73	53
630	36	23	12
631	42	75	56
632	27	53	40
633	87	12	74
634	37	63	50
635	42	68	55
636	3	42	22
637	35	22	48
638	18	44	31
639	80	24	12
640	12	34	21
641	33	59	46
642	35	61	48
643	83	70	57
644	49	75	62
645	37	63	50
646	64	51	38
647	19	46	33
648	38	26	13
649	37	63	50
650	63	89	76
651	19	45	32
652	23	80	12
653	67	93	80
654	39	65	53
655	21	3	76
656	31	57	44
657	33	20	11
658	30	43	17
659	29	55	42
660	15	42	29
661	32	58	45
662	77	21	12
663	28	41	15
664	11	73	86
665	55	81	68
666	12	78	22
667	68	55	81
668	76	50	63
669	52	77	65
670	75	21	3
671	54	67	41
672	12	34	21
673	60	48	35
674	65	91	78
675	85	11	72
676	42	68	55
677	11	33	20
678	22	35	11
679	36	62	49
680	73	60	86
681	58	71	45
682	21	33	3
683	46	72	59
684	64	90	77
685	11	36	23
686	32	58	45
687	23	49	36
688	38	51	64
689	12	38	25
690	66	93	79
691	20	46	33
692	28	54	41
693	11	36	23
694	17	44	31
695	24	80	11
696	76	21	3
697	26	51	39
698	79	23	11
699	15	41	28
700	60	85	73
701	54	41	28
702	30	56	44
703	3	68	81
704	93	67	80
705	16	42	29
706	64	90	77
707	75	21	3
708	48	61	35
709	36	11	24
710	44	31	57
711	27	53	40
712	61	49	36
713	51	64	38
714	34	60	47
715	77	21	11
716	63	50	37
717	36	49	23
718	50	76	63
719	11	36	24
720	64	90	77
721	38	51	25
722	33	20	46
723	34	47	60
724	11	21	77
725	80	24	11
726	74	61	87
727	93	81	67
728	47	73	60
729	44	77	57
730	16	42	30
731	70	57	44
732	27	40	14
733	53	79	66
734	29	43	55
735	51	38	64
736	4	21	75
737	77	21	11
738	26	39	13
739	48	74	61
740	26	52	39
741	40	27	14
742	40	66	53
743	60	93	73
744	40	53	66
745	75	21	3
746	59	92	73
747	75	62	49
748	72	12	85
749	25	51	39
750	13	46	26
751	67	54	80
752	24	11	79
753	74	61	87
754	68	55	88
755	48	22	35
756	68	80	55
757	32	45	19
758	47	60	34
759	73	61	47
760	82	3	69
761	79	23	11
762	50	63	77
763	40	66	53
764	69	3	82
765	14	47	27
766	28	15	41
767	56	90	70
768	20	53	33
769	27	54	41
770	31	3	21
771	41	54	67
772	35	48	22
773	56	82	69
774	38	64	51
775	55	42	68
776	11	21	76
777	25	51	38
778	75	62	49
779	71	11	84
780	21	47	34
781	26	53	39
782	68	81	55
783	39	26	52
784	3	21	76
785	45	32	58
786	41	28	15
787	29	62	43
788	12	36	23
789	12	76	22
790	60	86	74
791	70	57	83
792	41	15	29
793	45	71	58
794	40	54	69
795	70	11	83
796	22	35	48
797	53	79	66
798	32	45	19
799	76	63	89
800	67	3	80
801	11	35	22
802	76	3	21
803	87	11	74
804	53	79	66
805	66	79	53
806	22	36	49
807	58	32	45
808	73	11	86
809	20	46	33
810	67	3	80
811	68	3	81
812	43	69	56
813	69	43	56
814	61	48	74
815	52	39	23
816	50	36	62
817	16	42	29
818	80	24	11
819	63	76	50
820	74	87	11
821	13	39	27
822	17	30	43
823	24	11	80
824	85	11	72
825	12	36	23
826	13	26	39
827	21	11	77
828	82	70	11
829	65	78	91
830	13	39	27
831	21	3	32
832	63	89	77
833	37	24	50
834	79	91	66
835	58	91	71
836	22	3	75
837	75	3	21
838	62	49	36
839	38	65	52
840	58	71	45
841	12	34	22
842	11	72	85
843	44	31	57
844	74	87	61
845	71	83	11
846	55	29	43
847	55	81	68
848	40	53	27
849	19	46	33
850	40	66	53
851	11	21	34
852	19	45	33
853	32	46	59
854	21	32	3
855	48	74	62
856	35	61	48
857	32	58	46
858	59	46	72
859	37	63	50
860	64	91	77
861	50	76	63
862	15	41	28
863	40	27	53
864	59	85	72
865	70	11	84
866	70	83	11
867	11	34	21
868	60	73	47
869	4	21	33
870	63	89	76
871	38	51	24
872	48	74	61
873	3	32	21
874	72	59	46
875	47	72	60
876	40	67	54
877	54	80	67
878	4	82	69
879	27	40	14
880	3	81	69
881	61	74	48
882	79	23	12
883	51	77	64
884	18	44	31
885	43	30	17
886	68	81	55
887	63	76	89
888	71	11	84
889	72	59	46
890	74	62	49
891	63	76	50
892	57	71	84
893	29	55	42
894	32	58	45
895	21	11	38
896	3	31	20
897	20	46	33
898	80	25	11
899	79	23	11
900	60	85	73
901	59	72	85
902	64	90	77
903	39	52	65
904	74	11	87
905	34	60	47
906	43	56	30
907	78	22	11
908	67	80	54
909	78	22	11
910	76	3	21
911	75	21	3
912	84	97	67
913	35	61	49
914	69	3	82
915	16	44	31
916	17	43	30
917	23	49	36
918	44	31	18
919	38	64	51
920	74	61	87
921	60	86	73
922	29	41	54
923	61	87	74
924	35	62	49
925	81	3	69
926	65	91	78
927	31	44	18
928	20	46	33
929	36	23	49
930	64	38	51
931	22	35	11
932	62	88	76
933	34	60	47
934	50	63	76
935	12	33	21
936	21	33	3
937	43	57	69
938	17	44	30
939	15	42	29
940	54	79	67
941	36	62	50
942	67	80	93
943	11	37	24
944	92	66	80
945	17	43	30
946	77	21	11
947	27	53	40
948	33	59	46
949	71	58	84
950	39	65	53
951	49	36	23
952	79	23	11
953	51	38	25
954	28	54	41
955	33	59	46
956	27	60	41
957	68	42	55
958	89	63	77
959	51	77	64
960	69	82	11
961	11	86	73
962	23	49	36
963	20	46	33
964	86	60	74
965	64	90	77
966	52	78	65
967	57	70	44
968	55	81	68
969	43	68	56
970	11	21	34
971	80	93	67
972	55	43	30
973	61	49	36
974	48	75	62
975	24	11	37
976	65	91	78
977	62	87	75
978	74	87	12
979	46	72	59
980	81	32	12
981	22	75	4
982	72	60	47
983	77	21	11
984	62	36	49
985	52	78	65
986	58	84	71
987	70	44	57
988	74	12	87
989	63	76	50
990	80	24	11
991	84	11	72
992	74	21	3
993	42	16	30
994	68	3	81
995	42	68	55
996	85	72	59
997	68	3	81
998	28	41	15
999	31	57	45
