Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
873	187	166	207
874	730	710	689
875	194	174	153
876	943	923	902
877	423	401	444
878	495	474	515
879	662	683	704
880	65	23	45
881	670	649	690
882	160	140	119
883	252	272	231
884	706	719	693
885	161	119	141
886	162	141	183
887	91	69	111
888	361	404	383
889	899	921	942
890	887	866	908
891	713	729	742
892	867	846	888
893	811	852	832
894	191	149	171
895	384	342	364
896	990	1003	1016
897	677	656	697
898	168	147	189
899	647	667	626
900	821	805	834
901	116	96	75
902	145	124	103
903	908	930	951
904	152	130	173
905	586	600	612
906	958	936	978
907	890	910	869
908	780	802	823
909	690	668	710
910	433	387	409
911	53	75	96
912	838	879	859
913	640	619	660
914	822	801	842
915	50	12	30
916	1008	986	1028
917	810	853	832
918	101	144	123
919	631	589	610
920	783	796	770
921	735	715	694
922	788	747	768
923	785	827	807
924	608	628	587
925	112	125	99
926	360	339	380
927	368	411	390
928	878	857	898
929	535	493	514
930	528	549	569
931	57	16	37
932	833	812	792
933	972	993	951
934	718	676	698
935	57	36	78
936	383	404	424
937	949	928	906
938	959	980	938
939	432	411	390
940	986	1009	1030
941	861	841	820
942	872	893	851
943	271	312	292
944	589	567	610
945	93	114	71
946	546	532	519
947	419	460	440
948	409	382	396
949	360	317	339
950	887	929	909
951	385	342	363
952	726	747	704
953	460	502	482
954	913	871	893
955	184	163	142
956	1065	33	12
957	386	364	406
958	115	157	136
959	576	535	556
960	416	394	437
961	790	832	811
962	712	734	754
963	786	828	808
964	83	103	61
965	497	510	480
966	732	776	755
967	526	483	505
968	585	563	606
969	497	455	476
970	972	994	1015
971	288	356	310
972	658	672	645
973	562	576	589
974	278	299	320
975	739	781	761
976	602	624	644
977	697	682	710
978	966	945	987
979	411	424	396
980	873	917	896
981	927	914	900
982	492	514	535
983	213	256	235
984	426	470	449
985	494	452	473
986	394	372	414
987	349	391	370
988	358	337	314
989	799	758	779
990	411	390	368
991	440	419	398
992	244	265	222
993	864	886	907
994	587	630	610
995	452	431	410
996	372	349	392
997	506	548	527
998	387	409	429
999	736	716	695
