=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 12:13:54 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
507	642	618	631
508	190	203	213
509	698	730	717
510	1047	1037	1024
511	645	655	632
512	364	353	341
513	916	937	927
514	571	582	559
515	590	603	615
516	249	226	239
517	311	323	334
518	39	15	28
519	369	356	380
520	900	877	889
521	358	367	348
522	932	909	921
523	391	414	403
524	554	543	530
525	233	220	210
526	573	562	549
527	626	613	637
528	574	585	562
529	286	261	274
530	132	120	143
531	508	497	484
532	809	796	820
533	505	529	518
534	135	158	147
535	879	855	868
536	788	812	801
537	660	637	650
538	12	1081	1069
539	427	416	403
540	221	245	234
541	913	902	889
542	259	247	270
543	108	97	85
544	305	389	374
545	825	813	836
546	264	240	252
547	698	687	675
548	540	529	517
549	460	471	480
550	62	86	75
551	350	327	340
552	1060	1071	1048
553	94	105	82
554	159	148	136
555	669	684	654
556	232	208	221
557	269	258	246
558	594	608	581
559	23	34	11
560	1081	1057	1070
561	927	903	916
562	316	293	305
563	978	1002	991
564	805	829	818
565	486	510	499
566	798	787	807
567	886	896	873
568	274	289	258
569	656	632	645
570	490	479	467
571	348	369	359
572	444	431	455
573	955	944	931
574	463	442	453
575	999	988	976
576	990	965	979
577	291	314	303
578	1070	1046	1059
579	397	417	407
580	822	811	798
581	718	705	729
582	403	379	392
583	201	214	225
584	66	77	53
585	163	153	140
586	294	280	305
587	46	59	69
588	498	488	475
589	901	915	925
590	501	488	512
591	1073	1084	1061
592	686	676	661
593	1064	1074	1051
594	236	225	212
595	16	40	29
596	572	582	559
597	840	816	829
598	554	567	578
599	861	850	838
600	109	96	120
601	36	45	25
602	796	817	807
603	633	609	622
604	1019	1009	996
605	75	88	99
606	286	275	262
607	591	602	578
608	251	238	262
609	617	606	628
610	762	751	738
611	1031	1018	1042
612	179	203	192
613	90	100	77
614	608	585	598
615	679	666	690
616	167	177	154
617	251	262	238
618	114	126	137
619	1065	1056	1040
620	647	634	658
621	577	587	564
622	129	153	142
623	720	697	709
624	12	1080	23
625	435	448	459
626	540	508	519
627	12	20	1070
628	101	124	114
629	714	727	738
630	156	167	144
631	844	867	856
632	854	843	830
633	1076	1052	1065
634	1072	1059	1083
635	845	832	855
636	697	710	721
637	548	572	561
638	1007	1030	1020
639	477	464	450
640	640	627	651
641	939	915	928
642	336	323	347
643	497	474	486
644	670	683	694
645	205	216	193
646	56	32	45
647	514	525	502
648	126	117	107
649	815	804	792
650	204	220	229
651	929	905	918
652	489	476	500
653	398	385	409
654	410	423	434
655	625	636	613
656	956	946	933
657	748	774	761
658	860	880	870
659	453	440	464
660	933	922	910
661	48	25	38
662	1052	1028	1041
663	412	401	389
664	871	885	859
665	992	1019	1009
666	770	757	781
667	52	76	65
668	677	688	664
669	212	202	189
670	168	157	145
671	464	484	474
672	54	75	65
673	444	454	431
674	654	678	667
675	869	893	882
676	576	600	589
677	65	54	42
678	944	932	955
679	806	726	817
680	636	645	622
681	317	306	294
682	964	941	953
683	193	170	207
684	919	939	929
685	1070	1058	1085
686	454	443	430
687	211	188	200
688	644	621	634
689	982	992	1002
690	63	50	74
691	759	750	736
692	760	749	737
693	619	608	596
694	367	376	354
695	820	811	801
696	270	247	260
697	929	918	906
698	984	995	972
699	623	636	649
700	168	192	181
701	205	184	195
702	493	514	504
703	584	595	572
704	704	692	715
705	634	621	645
706	753	741	764
707	555	542	566
708	710	686	699
709	455	445	432
710	460	439	450
711	250	226	240
712	1065	1075	3
713	958	947	981
714	853	864	840
715	239	227	253
716	567	543	556
717	970	979	960
718	435	455	445
719	921	945	934
720	683	672	659
721	602	626	615
722	298	321	310
723	245	232	257
724	843	854	831
725	969	993	982
726	875	862	886
727	964	987	977
728	205	181	194
729	742	731	718
730	80	59	70
731	258	270	282
732	629	605	618
733	39	15	28
734	915	938	928
735	423	399	412
736	1043	1054	1030
737	695	705	682
738	952	965	976
739	748	728	738
740	332	345	356
741	497	511	521
742	428	442	453
743	346	359	370
744	705	714	689
745	515	502	525
746	623	612	634
747	728	704	717
748	490	503	514
749	263	253	240
750	122	147	137
751	346	335	323
752	408	397	385
753	977	954	966
754	350	337	361
755	772	759	783
756	867	882	855
757	654	641	665
758	187	200	211
759	686	675	662
760	91	104	115
761	210	197	219
762	251	262	239
763	362	375	385
764	366	353	377
765	258	235	247
766	341	330	317
767	207	227	217
768	469	457	480
769	908	897	885
770	23	11	1076
771	732	708	721
772	621	632	609
773	1008	1031	1021
774	240	253	264
775	75	64	52
776	1002	1040	2143
777	271	258	282
778	111	99	123
779	690	679	667
780	139	130	119
781	140	164	153
782	573	561	584
783	779	769	788
784	983	959	972
785	607	620	631
786	829	840	816
787	541	564	554
788	958	946	969
789	563	551	574
790	634	645	622
791	572	595	584
792	1060	1073	1083
793	380	367	391
794	601	590	578
795	798	811	822
796	530	519	506
797	422	443	433
798	435	422	446
799	580	567	591
800	487	500	511
801	628	618	605
802	36	12	25
803	647	636	623
804	819	843	832
805	966	979	990
806	101	88	112
807	990	1013	1003
808	451	438	462
809	872	883	859
810	253	242	262
811	196	209	220
812	863	852	872
813	539	515	528
814	899	886	910
815	709	698	685
816	254	243	263
817	541	532	521
818	462	451	438
819	504	480	493
820	737	747	724
821	942	962	952
822	580	591	567
823	38	62	51
824	751	774	763
825	129	116	140
826	157	134	147
827	242	231	219
828	450	462	438
829	195	164	180
830	662	649	673
831	355	332	345
832	358	334	347
833	985	1009	999
834	291	279	302
835	57	68	45
836	391	402	378
837	1077	3	1065
838	357	381	370
839	158	171	182
840	227	238	214
841	272	248	261
842	487	474	498
843	163	151	174
844	716	707	697
845	604	615	591
846	43	54	30
847	44	33	21
848	607	620	631
849	1044	1033	1020
850	11	1067	1079
851	759	773	787
852	729	704	717
853	261	287	274
854	974	950	963
855	670	658	682
856	703	716	727
857	402	378	391
858	109	133	122
859	557	545	568
860	1031	1045	1058
861	408	385	398
862	329	319	306
863	110	101	90
864	356	333	346
865	419	432	443
866	204	183	194
867	122	96	111
868	204	217	228
869	993	980	1003
870	207	181	197
871	518	495	507
872	39	15	28
873	1078	1089	1065
874	525	536	513
875	362	382	372
876	949	973	962
877	886	899	910
878	415	404	391
879	55	44	31
880	692	704	672
881	78	67	55
882	498	509	486
883	913	937	928
884	913	900	924
885	46	35	23
886	588	600	611
887	627	614	638
888	139	128	115
889	653	666	677
890	330	343	354
891	829	805	818
892	724	713	700
893	766	777	753
894	764	783	798
895	335	324	311
896	226	249	239
897	710	734	723
898	314	325	301
899	1059	1048	1036
900	722	707	731
901	581	592	568
902	207	218	228
903	752	765	776
904	139	128	115
905	822	833	809
906	157	134	147
907	377	390	401
908	848	868	858
909	926	915	903
910	701	711	688
911	288	301	312
912	741	765	752
913	371	381	358
914	420	409	429
