=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 12:11:54 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
694	11	630	21
695	554	96	564
696	270	827	280
697	503	1030	514
698	506	999	516
699	835	220	845
700	890	266	900
701	898	264	908
702	296	723	306
703	12	426	23
704	567	970	577
705	113	529	123
706	528	975	539
707	985	346	995
708	1037	364	1047
709	583	947	593
710	400	765	410
711	542	933	552
712	361	776	372
713	296	735	306
714	773	134	783
715	1005	332	1015
716	669	1061	679
717	241	626	275
718	479	887	490
719	814	141	824
720	292	682	302
721	635	1013	646
722	40	408	50
723	98	422	108
724	542	870	552
725	215	543	225
726	111	438	121
727	605	927	615
728	108	429	118
729	654	1003	665
730	397	690	407
731	525	810	535
732	494	760	504
733	578	871	588
734	440	762	451
735	395	720	405
736	76	399	86
737	815	90	825
738	938	236	948
739	11	410	20
740	396	822	406
741	591	1008	601
742	936	272	946
743	772	102	782
744	364	739	374
745	1038	302	1048
746	508	830	519
747	361	689	372
748	570	897	580
749	810	64	820
750	709	1034	719
751	82	373	92
752	647	907	657
753	853	35	863
754	212	450	222
755	194	423	204
756	986	90	996
757	740	874	751
758	342	468	353
759	15	90	26
760	814	891	823
761	556	576	566
762	64	84	74
763	198	208	218
764	865	875	885
765	34	54	44
766	562	582	572
767	216	228	238
768	603	613	622
769	788	798	808
770	79	99	89
771	700	720	710
772	696	707	717
773	572	646	632
774	616	700	690
775	892	903	913
776	802	822	812
777	1070	21	11
778	795	815	805
779	375	395	385
780	1065	1074	1084
781	14	24	34
782	41	62	52
783	1044	30	40
784	253	317	327
785	202	212	222
786	1014	1024	1034
787	372	382	392
788	468	488	478
789	542	562	552
790	395	456	404
791	889	963	899
792	675	750	685
793	276	351	286
794	882	957	892
795	446	520	456
796	290	371	300
797	886	957	895
798	470	490	480
799	840	860	850
800	342	352	361
801	600	658	609
802	731	804	740
803	180	252	189
804	687	762	697
805	813	894	823
806	388	454	397
807	81	101	91
808	1009	1029	1020
809	362	372	382
810	833	853	843
811	583	593	603
812	554	574	564
813	328	348	338
814	527	547	537
815	412	432	422
816	382	392	402
817	508	518	528
818	179	200	190
819	443	463	453
820	579	589	599
821	186	197	206
822	483	494	503
823	719	739	729
824	616	626	636
825	434	495	505
826	465	548	538
827	852	927	937
828	171	254	244
829	981	991	1000
830	472	483	492
831	574	594	584
832	699	710	719
833	715	735	725
834	839	849	858
835	699	719	709
836	950	1014	1024
837	288	362	372
838	1036	71	81
839	768	842	852
840	338	422	412
841	989	3	1062
842	715	798	788
843	555	638	628
844	736	821	811
845	536	621	611
846	772	781	791
847	562	582	572
848	783	804	794
849	672	682	692
850	308	318	328
851	122	132	142
852	351	421	411
853	212	303	293
854	429	502	513
855	429	503	513
856	444	529	519
857	143	153	163
858	761	781	771
859	884	946	956
860	430	503	513
861	96	167	157
862	242	326	316
863	890	975	965
864	954	1027	1037
865	448	523	533
866	86	194	204
867	74	212	222
868	17	153	163
869	84	252	262
870	42	218	228
871	482	624	634
872	745	887	897
873	984	53	63
874	393	562	572
875	827	1000	1010
876	1041	152	162
877	789	946	956
878	890	1032	1042
879	762	901	911
880	337	478	488
881	377	514	525
882	366	537	547
883	123	325	335
884	864	30	40
885	498	736	746
886	163	408	418
887	141	392	402
888	377	632	642
889	436	703	713
890	90	363	374
891	1062	309	319
892	575	919	929
893	52	388	398
894	400	733	743
895	389	696	706
896	853	66	76
897	829	14	25
898	164	399	409
899	795	1029	1039
900	1059	224	234
901	280	514	524
902	1016	185	196
903	461	706	716
904	165	410	420
905	701	979	989
906	1035	273	283
907	810	79	89
908	637	970	980
909	801	37	47
910	204	481	491
911	737	1011	1022
912	526	776	787
913	741	974	984
914	1044	213	223
915	680	927	937
916	352	605	615
917	418	654	665
918	451	691	701
919	158	405	415
920	216	461	471
921	46	322	332
922	34	344	354
923	754	19	29
924	148	452	462
925	645	923	933
926	776	1057	1067
927	79	374	385
928	381	676	686
